"method","lambda","fold","bandwidth","training_loo_rmse","validation_rmse_raw","validation_rmse_oracle"
"kernel",1e-14,1,0.006,0.065286179347949,0.0727250194725576,0.043044216749117
"local_linear",1e-14,1,0.006,0.0630750197986852,0.0642357170855351,0.0333837329648641
"kernel",1e-14,2,0.006,0.06579882947164,0.0668279201238638,0.03654145394516
"local_linear",1e-14,2,0.01,0.0627155700791168,0.0653514723212352,0.0304036583625415
"kernel",1e-14,3,0.006,0.0652574870687953,0.0742879340983729,0.0447484724649028
"local_linear",1e-14,3,0.008,0.062076750528454,0.0669165587795897,0.0320763259205504
"kernel",1e-14,4,0.008,0.0681580820280402,0.0707564872363343,0.0431088651571099
"local_linear",1e-14,4,0.01,0.0627842787662196,0.0620136725208597,0.0330059705118798
"kernel",1e-14,5,0.008,0.06731025717421,0.0648291499493873,0.0403231969065086
"local_linear",1e-14,5,0.008,0.0622785292256599,0.0611518815685154,0.0338789140261226
"kernel",1e-13,1,0.006,0.0645768799383613,0.0725586322194829,0.0433855272739358
"local_linear",1e-13,1,0.008,0.0611972439115678,0.0613993218869456,0.0290461227681881
"kernel",1e-13,2,0.006,0.0650606404439206,0.0673468075384311,0.0365737571108864
"local_linear",1e-13,2,0.01,0.0613353821619326,0.0626757093358472,0.0277064540385401
"kernel",1e-13,3,0.006,0.0641685453732899,0.0716872972470084,0.0439334685969608
"local_linear",1e-13,3,0.008,0.0611947382566877,0.0646287840596624,0.0308356398033764
"kernel",1e-13,4,0.008,0.0679246292602314,0.0684462504121499,0.0396023346207044
"local_linear",1e-13,4,0.01,0.0625936802436568,0.0643171043893477,0.0326242733886352
"kernel",1e-13,5,0.008,0.0657401623428757,0.0643729902410202,0.0394525920947041
"local_linear",1e-13,5,0.008,0.0612091851153923,0.0625540549312863,0.0319248061308578
"kernel",1e-12,1,0.006,0.0630342979017678,0.0734142149966814,0.0435489315331208
"local_linear",1e-12,1,0.01,0.0604244902287829,0.0628299378593524,0.0256105943302129
"kernel",1e-12,2,0.006,0.0635064908624371,0.0663381678309848,0.0353212794578593
"local_linear",1e-12,2,0.01,0.060482108947531,0.0627390124823451,0.0268230355459892
"kernel",1e-12,3,0.008,0.0630937042875234,0.0704052706292093,0.0391221206347786
"local_linear",1e-12,3,0.008,0.0588719874912314,0.0657975238003806,0.031087969441569
"kernel",1e-12,4,0.008,0.065205290162816,0.0688691747116026,0.0391091065508944
"local_linear",1e-12,4,0.008,0.0594629934980248,0.0633662385408897,0.0320733632988807
"kernel",1e-12,5,0.006,0.0649040939863229,0.0671864694254754,0.04465684817183
"local_linear",1e-12,5,0.008,0.0603410295423538,0.0642879120236293,0.0325729220106452
"kernel",1e-11,1,0.006,0.0619751030998515,0.0727124221987222,0.0432947596053605
"local_linear",1e-11,1,0.008,0.0583095764891742,0.0631424560359768,0.0285950783906017
"kernel",1e-11,2,0.008,0.0621660074941578,0.0669898815143531,0.0357877561835537
"local_linear",1e-11,2,0.01,0.0579501029730479,0.0630173050859178,0.0277454499820601
"kernel",1e-11,3,0.006,0.0615206420037542,0.0741244760266059,0.0430541888509509
"local_linear",1e-11,3,0.01,0.0574727365098239,0.0679785056935592,0.0315843579198989
"kernel",1e-11,4,0.01,0.0643520280423105,0.0720655720113782,0.0437456146833027
"local_linear",1e-11,4,0.01,0.0590410668544279,0.0645747120610483,0.0344004015415242
"kernel",1e-11,5,0.006,0.062694834009128,0.0679775826472899,0.043171949262551
"local_linear",1e-11,5,0.008,0.0582693700790078,0.0627006671276966,0.0308876236726361
"kernel",1e-10,1,0.006,0.0583685130383293,0.0707716758547145,0.0408356501024566
"local_linear",1e-10,1,0.008,0.0534530299196373,0.0625534186611772,0.0258411465313509
"kernel",1e-10,2,0.006,0.0599768204141259,0.0675482093279943,0.0372800110101778
"local_linear",1e-10,2,0.01,0.0548682484213719,0.0652908659330162,0.0298855815012517
"kernel",1e-10,3,0.006,0.058383130248932,0.071861857416392,0.0412429914673691
"local_linear",1e-10,3,0.01,0.0538597876568198,0.064446030103171,0.0275286123176037
"kernel",1e-10,4,0.008,0.0607794210631518,0.0712232924128417,0.041157816717972
"local_linear",1e-10,4,0.008,0.0535761671678174,0.0667070048880525,0.0339224123031016
"kernel",1e-10,5,0.008,0.0598898001744823,0.0650883425322172,0.0400809764925437
"local_linear",1e-10,5,0.01,0.0546053247323887,0.0605250698331924,0.0277302133970871
"kernel",1e-09,1,0.006,0.0543636676613728,0.0689611751945635,0.0390484831094379
"local_linear",1e-09,1,0.01,0.0497665214024438,0.0597048839906561,0.0223482756027949
"kernel",1e-09,2,0.006,0.0540735522016982,0.0658889839106166,0.0320350525566974
"local_linear",1e-09,2,0.01,0.048774128250887,0.0627998362301497,0.0250966783410014
"kernel",1e-09,3,0.006,0.0547155111269389,0.0702955055958217,0.0382682988676264
"local_linear",1e-09,3,0.008,0.0492790262003078,0.0635752227085168,0.0238943573298141
"kernel",1e-09,4,0.008,0.0568123910068838,0.0691302447075826,0.0390838325059666
"local_linear",1e-09,4,0.01,0.0485429346460616,0.0636619523878381,0.028815276470159
"kernel",1e-09,5,0.006,0.0563009995035118,0.0656650943129761,0.0419613394718277
"local_linear",1e-09,5,0.01,0.0499555164216827,0.0587169476816917,0.0270689694276836
"kernel",1e-08,1,0.006,0.0481544326447924,0.0686020733014258,0.0368220849470593
"local_linear",1e-08,1,0.008,0.0432242832310591,0.0596029726734288,0.0204201539243343
"kernel",1e-08,2,0.006,0.0499606388667782,0.0633388025092735,0.0291527863367201
"local_linear",1e-08,2,0.01,0.0435852327734216,0.0603436779259681,0.0213444569305891
