"lambda","fold","iterations","converged"
1e-14,1,5,TRUE
1e-14,2,6,TRUE
1e-14,3,5,TRUE
1e-14,4,5,TRUE
1e-14,5,5,TRUE
1e-13,1,12,TRUE
1e-13,2,7,TRUE
1e-13,3,6,TRUE
1e-13,4,5,TRUE
1e-13,5,5,TRUE
1e-12,1,10,TRUE
1e-12,2,9,TRUE
1e-12,3,12,TRUE
1e-12,4,8,TRUE
1e-12,5,9,TRUE
1e-11,1,18,TRUE
1e-11,2,9,TRUE
1e-11,3,16,TRUE
1e-11,4,22,TRUE
1e-11,5,14,TRUE
1e-10,1,23,TRUE
1e-10,2,17,TRUE
1e-10,3,21,TRUE
1e-10,4,26,TRUE
1e-10,5,21,TRUE
1e-09,1,29,TRUE
1e-09,2,42,TRUE
1e-09,3,42,TRUE
1e-09,4,24,TRUE
1e-09,5,48,TRUE
1e-08,1,12,TRUE
1e-08,2,12,TRUE
1e-08,3,19,TRUE
1e-08,4,22,TRUE
1e-08,5,13,TRUE
1e-07,1,17,TRUE
1e-07,2,6,TRUE
1e-07,3,12,TRUE
1e-07,4,15,TRUE
1e-07,5,37,TRUE
1e-06,1,82,TRUE
1e-06,2,64,TRUE
1e-06,3,65,TRUE
1e-06,4,63,TRUE
1e-06,5,83,TRUE
1e-05,1,31,TRUE
1e-05,2,35,TRUE
1e-05,3,36,TRUE
1e-05,4,32,TRUE
1e-05,5,34,TRUE
1e-04,1,14,TRUE
1e-04,2,14,TRUE
1e-04,3,14,TRUE
1e-04,4,14,TRUE
1e-04,5,14,TRUE
