"method","lambda","mean_raw_rmse","se_raw_rmse","mean_oracle_rmse","se_oracle_rmse","mean_bandwidth","selected"
"kernel",1e-14,0.0698853021761032,0.00177649072512384,0.0415532410445596,0.00144019959158338,0.0068,FALSE
"kernel",1e-13,0.0688823955316185,0.00148770257348589,0.0405895359394383,0.001367354023475,0.0068,FALSE
"kernel",1e-12,0.0692426595187907,0.00125612539709955,0.0403516572696966,0.00168993527944998,0.0068,FALSE
"kernel",1e-11,0.0707739868796699,0.00139267424778781,0.0418108537171438,0.00151032188488218,0.0072,FALSE
"kernel",1e-10,0.0692986755088319,0.00128908528347894,0.0401194891581038,0.000738829731287272,0.0068,FALSE
"kernel",1e-09,0.0679882007443121,0.000932151655549393,0.0380794013023112,0.00163687628720859,0.0064,FALSE
"kernel",1e-08,0.0662626615849076,0.00103885187719477,0.0348279381045921,0.00150191905935351,0.0064,TRUE
"kernel",1e-07,0.0742703898307247,0.00160362619388535,0.0467913490962545,0.00214559956672622,0.0064,FALSE
"kernel",1e-06,0.116246052916397,0.00326641043012532,0.0993641272096261,0.00354670998336006,0.0068,FALSE
"kernel",1e-05,0.190688589836508,0.00398769357797644,0.179859509089008,0.00447023968636349,0.0072,FALSE
"kernel",1e-04,0.263860904945194,0.00526296845155706,0.255142716979554,0.00534719802690409,0.008,FALSE
"local_linear",1e-14,0.063933860455147,0.00105886161398605,0.0325497203571917,0.000612379842110284,0.0084,FALSE
"local_linear",1e-13,0.0631149949206178,0.000599490791730279,0.0304274592259195,0.00090957713367951,0.0088,FALSE
"local_linear",1e-12,0.0638041249413194,0.000569339023470698,0.0296335769254594,0.00142812983436424,0.0088,FALSE
"local_linear",1e-11,0.0642827292008398,0.000978479927213726,0.0306425823013442,0.00117587924488788,0.0092,FALSE
"local_linear",1e-10,0.0639044778837219,0.00107970523835039,0.028981593210079,0.00139227149638191,0.0092,FALSE
"local_linear",1e-09,0.0616917685997705,0.00103571490663664,0.0254447114342906,0.00114261897481141,0.0096,FALSE
"local_linear",1e-08,0.0604388805042479,0.000601201231479746,0.0221475646401839,0.000879001046084926,0.0092,TRUE
"local_linear",1e-07,0.0698589792805878,0.00128825167848945,0.0392896597400469,0.00227373891532152,0.0092,FALSE
"local_linear",1e-06,0.114196036048789,0.0033702594599721,0.096775974837753,0.0037898544699134,0.0092,FALSE
"local_linear",1e-05,0.189482144766095,0.00394157991374725,0.178419893474741,0.00459903811775582,0.015,FALSE
"local_linear",1e-04,0.263124449309558,0.00533602256096996,0.254243515795264,0.00538587743117927,0.015,FALSE
