"method","lambda","fold","bandwidth","training_loo_rmse","validation_rmse_raw","validation_rmse_oracle"
"kernel",1e-12,1,0.04,0.233548605427352,0.24341429834508,0.233570238050133
"local_linear",1e-12,1,0.04,0.196151590652642,0.195254882494868,0.180179466897988
"kernel",1e-12,2,0.04,0.243557485267666,0.22680402936933,0.216607628789648
"local_linear",1e-12,2,0.04,0.210600123046404,0.180784603182801,0.169452215871675
"kernel",1e-12,3,0.04,0.239779743956621,0.238992165092979,0.230072951048332
"local_linear",1e-12,3,0.04,0.195567763565785,0.196327845138281,0.184235847260887
"kernel",1e-12,4,0.04,0.244768975708391,0.228851023045714,0.217727823926443
"local_linear",1e-12,4,0.04,0.206345537274172,0.199218543475755,0.189677360764035
"kernel",1e-12,5,0.04,0.234075776846799,0.240161025074324,0.232210010269758
"local_linear",1e-12,5,0.04,0.19538000931623,0.210925082656097,0.200887458620246
"kernel",1.38949549437314e-11,1,0.04,0.233215687919343,0.243306913201008,0.23348453741028
"local_linear",1.38949549437314e-11,1,0.04,0.196313369853521,0.19622509739634,0.18186706232045
"kernel",1.38949549437314e-11,2,0.04,0.243728548683649,0.226823536358819,0.216634422474459
"local_linear",1.38949549437314e-11,2,0.04,0.210762015431415,0.180795959243159,0.169467763522795
"kernel",1.38949549437314e-11,3,0.04,0.239760779213587,0.238729909247563,0.229817349083932
"local_linear",1.38949549437314e-11,3,0.04,0.195574022118552,0.195825387177622,0.183528727804011
"kernel",1.38949549437314e-11,4,0.04,0.245288059647186,0.228863619176236,0.217487041630159
"local_linear",1.38949549437314e-11,4,0.04,0.206283155656984,0.1992173695778,0.189667564052602
"kernel",1.38949549437314e-11,5,0.04,0.234051783833335,0.239012366675694,0.231052542154259
"local_linear",1.38949549437314e-11,5,0.04,0.195092428003725,0.210715106001759,0.200661654338254
"kernel",1.93069772888325e-10,1,0.04,0.232168336328452,0.244496543657898,0.234142407566592
"local_linear",1.93069772888325e-10,1,0.04,0.196571711081894,0.195925185337335,0.181996400157216
"kernel",1.93069772888325e-10,2,0.04,0.243852117119995,0.226677871123979,0.216507010884115
"local_linear",1.93069772888325e-10,2,0.04,0.210017768983416,0.180595228119333,0.169156559153773
"kernel",1.93069772888325e-10,3,0.04,0.239667869999388,0.238086425465503,0.229288744070045
"local_linear",1.93069772888325e-10,3,0.04,0.196176005089222,0.194840499821663,0.182657220934992
"kernel",1.93069772888325e-10,4,0.04,0.244086662795743,0.22875168101964,0.217415555061929
"local_linear",1.93069772888325e-10,4,0.04,0.206412638302511,0.198461984626275,0.188800681888247
"kernel",1.93069772888325e-10,5,0.04,0.234338195059607,0.238655923427522,0.230688155090316
"local_linear",1.93069772888325e-10,5,0.04,0.195095732438668,0.210371643225751,0.200310314983686
"kernel",2.68269579527973e-09,1,0.04,0.231230226434613,0.243536348767088,0.233123101906923
"local_linear",2.68269579527973e-09,1,0.04,0.196999080456667,0.200329423068221,0.185729111638167
"kernel",2.68269579527973e-09,2,0.04,0.244681044794582,0.228058362560759,0.217478221531635
"local_linear",2.68269579527973e-09,2,0.04,0.208959819168566,0.181625767910851,0.169900221095929
"kernel",2.68269579527973e-09,3,0.04,0.239002320467706,0.238783715467353,0.229310470386644
"local_linear",2.68269579527973e-09,3,0.04,0.196902023689739,0.195326195635108,0.182417732240554
"kernel",2.68269579527973e-09,4,0.04,0.244619175399971,0.226359409495403,0.2149045662602
"local_linear",2.68269579527973e-09,4,0.04,0.204907782311579,0.199346368792649,0.188762673644611
"kernel",2.68269579527973e-09,5,0.04,0.23335593646137,0.240325908249506,0.232151212140178
"local_linear",2.68269579527973e-09,5,0.04,0.193734755297607,0.20829196797666,0.198689041504124
"kernel",3.72759372031494e-08,1,0.04,0.232932345821759,0.243797163247661,0.233731017139234
"local_linear",3.72759372031494e-08,1,0.04,0.195349667735436,0.199904683011366,0.18667587258587
"kernel",3.72759372031494e-08,2,0.04,0.242213226565857,0.226996789141965,0.21591915338263
"local_linear",3.72759372031494e-08,2,0.04,0.207209956147752,0.173256729542001,0.161914932623056
"kernel",3.72759372031494e-08,3,0.04,0.240811435303524,0.240891374247736,0.231543394973335
"local_linear",3.72759372031494e-08,3,0.04,0.193921310929829,0.196015364714004,0.182552176864874
"kernel",3.72759372031494e-08,4,0.04,0.244401893057481,0.230691520568375,0.219995343428307
"local_linear",3.72759372031494e-08,4,0.04,0.205096071957031,0.200722907156242,0.191267636336534
"kernel",3.72759372031494e-08,5,0.04,0.2333035072004,0.239211895615879,0.231088185486012
"local_linear",3.72759372031494e-08,5,0.04,0.192607966595769,0.209516144439504,0.199560389499042
"kernel",5.1794746792312e-07,1,0.04,0.231335963559808,0.239134196261415,0.229299911787682
"local_linear",5.1794746792312e-07,1,0.04,0.190630767860837,0.197849433407648,0.184899943188692
"kernel",5.1794746792312e-07,2,0.04,0.239351785301437,0.231824666848983,0.221776672708177
"local_linear",5.1794746792312e-07,2,0.04,0.203709115971413,0.174421198704844,0.16310112612792
"kernel",5.1794746792312e-07,3,0.04,0.236379679610118,0.240275875458164,0.231284076940339
"local_linear",5.1794746792312e-07,3,0.04,0.190412910391094,0.193202701112541,0.180576297403175
"kernel",5.1794746792312e-07,4,0.04,0.241677978907273,0.228988634307641,0.218801278083396
"local_linear",5.1794746792312e-07,4,0.04,0.201271942829054,0.194563769743814,0.184245631530285
"kernel",5.1794746792312e-07,5,0.04,0.229690658996765,0.240181649116076,0.233093874207413
"local_linear",5.1794746792312e-07,5,0.04,0.190282855799874,0.203830269712864,0.195156181227432
"kernel",7.19685673001151e-06,1,0.04,0.220240309109491,0.235665879090991,0.226149419001764
"local_linear",7.19685673001151e-06,1,0.04,0.178417899917069,0.185258471946239,0.169932129454351
"kernel",7.19685673001151e-06,2,0.04,0.227449401625146,0.224147736207636,0.214157887240498
"local_linear",7.19685673001151e-06,2,0.04,0.189165243053576,0.172467548046565,0.161035076363596
"kernel",7.19685673001151e-06,3,0.04,0.225732076265029,0.230602126272344,0.221422959461379
"local_linear",7.19685673001151e-06,3,0.04,0.178154414601328,0.185567450177391,0.172235941299837
"kernel",7.19685673001151e-06,4,0.04,0.229525702048937,0.225400687896816,0.21520299111027
"local_linear",7.19685673001151e-06,4,0.04,0.185778861210422,0.18926038102325,0.178990970227653
"kernel",7.19685673001151e-06,5,0.04,0.220389328608976,0.237516005128628,0.229564879478309
"local_linear",7.19685673001151e-06,5,0.04,0.176624665438596,0.194330629035534,0.184522082456845
"kernel",1e-04,1,0.04,0.194018755214436,0.229662551873741,0.220277164840915
"local_linear",1e-04,1,0.04,0.151784249235623,0.195737391635352,0.183797671302903
"kernel",1e-04,2,0.04,0.200627460589678,0.223543866172941,0.214369050034474
"local_linear",1e-04,2,0.04,0.158665014230388,0.181939990842963,0.169544413921865
"kernel",1e-04,3,0.04,0.198507563196562,0.234700813430838,0.22433823400458
"local_linear",1e-04,3,0.04,0.151392509788451,0.197763534619604,0.184010831823672
"kernel",1e-04,4,0.04,0.200584812413964,0.223185454520932,0.21357348199586
"local_linear",1e-04,4,0.04,0.157167083262569,0.194317125014045,0.18503379021498
"kernel",1e-04,5,0.04,0.19321360122835,0.241349392335095,0.232184746244433
"local_linear",1e-04,5,0.04,0.152557450553272,0.20155112677624,0.190259267982775
"kernel",0.001,1,0.04,0.133060668963081,0.335012594697822,0.326787499866452
"local_linear",0.001,1,0.04,0.0956289753879385,0.321675373771735,0.312809211534079
"kernel",0.001,2,0.04,0.137691098127519,0.335265135654599,0.330068622320419
"local_linear",0.001,2,0.04,0.100011868266819,0.318647650648585,0.313406592125393
"kernel",0.001,3,0.04,0.136033747484503,0.347085226286377,0.340807665195394
"local_linear",0.001,3,0.04,0.0980585954424374,0.331565616187462,0.324684576077983
"kernel",0.001,4,0.04,0.138008895830751,0.334189875422832,0.328482710616058
"local_linear",0.001,4,0.04,0.100125354079235,0.322018876511022,0.316563329028134
"kernel",0.001,5,0.05,0.134908758223811,0.368450127588702,0.361043541169348
"local_linear",0.001,5,0.04,0.100367486618292,0.351488686090748,0.34361467058321
"kernel",0.01,1,0.04,0.0493739364037378,0.704899025126364,0.700050318710335
"local_linear",0.01,1,0.04,0.0416503846152837,0.705649997110295,0.700862265409046
"kernel",0.01,2,0.05,0.0471959373115791,0.712315318421247,0.710580390061507
"local_linear",0.01,2,0.04,0.0385661031001889,0.709337159627136,0.707677795024175
"kernel",0.01,3,0.04,0.0498275322142005,0.712291417293008,0.710048681492215
"local_linear",0.01,3,0.05,0.0403324685450131,0.714849108003202,0.712651206988172
"kernel",0.01,4,0.05,0.0497231802606941,0.701262214474436,0.699254834097053
"local_linear",0.01,4,0.04,0.0397363293391929,0.698382843624758,0.696519867217481
"kernel",0.01,5,0.05,0.0503842226946835,0.750236185208305,0.745907439031353
"local_linear",0.01,5,0.05,0.0420719803992392,0.750616424481031,0.746297857165204
