"method","lambda","mean_raw_rmse","se_raw_rmse","mean_oracle_rmse","se_oracle_rmse","mean_bandwidth","selected"
"kernel",1e-12,0.235644508185486,0.00328847135265592,0.226037730416863,0.00366810630947009,0.04,FALSE
"kernel",1.38949549437314e-11,0.235347268931864,0.00318530112390477,0.225695178550618,0.00357658047937261,0.04,FALSE
"kernel",1.93069772888325e-10,0.235333688938909,0.00332279037315064,0.2256083745346,0.00362033231494666,0.04,FALSE
"kernel",2.68269579527973e-09,0.235412748908022,0.00344634137886865,0.225393514445116,0.00383030964967255,0.04,FALSE
"kernel",3.72759372031494e-08,0.236317748564323,0.00319194696908461,0.226455418881904,0.00355689346659797,0.04,FALSE
"kernel",5.1794746792312e-07,0.236081004398456,0.00236804068482686,0.226851162745401,0.00278540516567303,0.04,FALSE
"kernel",7.19685673001151e-06,0.230666486919283,0.00266586490904146,0.221299627258444,0.00300019589236271,0.04,FALSE
"kernel",1e-04,0.230488415666709,0.00344925476941844,0.220948535424052,0.00343419764710142,0.04,TRUE
"kernel",0.001,0.344000591930066,0.00655986742247043,0.337438007833534,0.00638950039461492,0.042,FALSE
"kernel",0.01,0.716200832104672,0.00877405020307061,0.713168332678493,0.00852627259868366,0.046,FALSE
"local_linear",1e-12,0.196502191389561,0.00481677857220917,0.184886469882966,0.00519509220219858,0.04,FALSE
"local_linear",1.38949549437314e-11,0.196555783879336,0.00477799825686333,0.185038554407622,0.00510047276704235,0.04,FALSE
"local_linear",1.93069772888325e-10,0.196038908226072,0.00475002611914247,0.184584235423583,0.00506710701688456,0.04,FALSE
"local_linear",2.68269579527973e-09,0.196983944676698,0.00437759288753618,0.185099756024677,0.00467279813093502,0.04,FALSE
"local_linear",3.72759372031494e-08,0.195883165772623,0.00607217793691843,0.184394201581875,0.00628957062054639,0.04,FALSE
"local_linear",5.1794746792312e-07,0.192773474536342,0.00494071603422902,0.181595835895501,0.00521974738640035,0.04,FALSE
"local_linear",7.19685673001151e-06,0.185376896045796,0.00361906335210705,0.173343239960456,0.00400759312471858,0.04,TRUE
"local_linear",1e-04,0.194261833777641,0.00331212803666445,0.182529195049239,0.0034527948459567,0.04,FALSE
"local_linear",0.001,0.32907924064191,0.00600770074470579,0.32221567586976,0.00575344677352706,0.04,FALSE
"local_linear",0.01,0.715767106569284,0.00911380930206955,0.712801798360816,0.00882019776491757,0.044,FALSE
